english_word,word_class,level,verb_transitivity,translation,transliteration
"(It) is not (existence, location negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
a (meaning one),indefinite article,a1,,एक,ēk
a few,determiner,a1,,कुछ / थोड़े से,kuch / thōṛē sē
a few (some),adjective,a1,,कुछ / थोड़े,kuch / thōṛē
a lot (a large amount/quantity),determiner,a1,,बहुत सारा / ढेर सारा,bahut sārā / ḍhēr sārā
"a lot (adverbial degree, very much)",adverb,a1,,बहुत / काफ़ी,bahut / kāfī
"a lot (quantifier, much/many)",adverb,a1,,बहुत / ढेर सारा,bahut / ḍhēr sārā
about (approximately),preposition,a1,,लगभग / क़रीब,lagabhag / qarīb
about (concerning a topic),preposition,a1,,के बारे में / विषय में,kē bārē mēṁ / viṣay mēṁ
about (on the verge of doing),preposition,a1,,वाला / के कगार पर,vālā / kē kagār par
about to (do X),preposition,a1,,वाला / के कगार पर,vālā / kē kagār par
above,preposition,a1,,ऊपर / के ऊपर / से ऊपर,ūpar / kē ūpar / sē ūpar
accounting,noun,a1,,हिसाब-किताब (m) / लेखा (m) / लेखांकन (m),hisāb-kitāb (m) / lēkhā (m) / lēkhāṁkan (m)
across (moving from one side to the other),preposition,a1,,पार / के पार / के उस पार,pār / kē pār / kē us pār
across (on the opposite side),preposition,a1,,उस पार / के उस पार / सामने,us pār / kē us pār / sāmanē
across (to the opposite side),adverb,a1,,उस पार / पार,us pār / pār
action (a specific deed or act),noun,a1,,काम (m) / कार्य (m) / कर्म (m),kām (m) / kāry (m) / karm (m)
action (general activity or step),noun,a1,,क़दम (m) / कार्रवाई (f) / क्रिया (f),qadam (m) / kārravāī (f) / kriyā (f)
activity (general state of action),noun,a1,,गतिविधि (f) / क्रियाकलाप (m) / सक्रियता (f),gatividhi (f) / kriyākalāp (m) / sakriyatā (f)
activity (task or event),noun,a1,,काम (m) / गतिविधि (f) / क्रियाकलाप (m),kām (m) / gatividhi (f) / kriyākalāp (m)
actress,noun,a1,,ऐक्ट्रेस (f) / अभिनेत्री (f) / अदाकारा (f),aikṭrēs (f) / abhinētrī (f) / adākārā (f)
"adult (person, polite reference)",noun,a1,,बालिग़ (m) / वयस्क (m) / प्रौढ़ (m),bāliġa (m) / vayask (m) / prauṛh (m)
advice (authoritative guidance),noun,a1,,सलाह (f) / परामर्श (m) / निर्देश (m) / उपदेश (m),salāh (f) / parāmarśa (m) / nirdēśa (m) / upadēśa (m)
"advice (guidance, counsel)",noun,a1,,सलाह (f) / राय (f) / परामर्श (m) / उपदेश (m),salāh (f) / rāy (f) / parāmarśa (m) / upadēśa (m)
"afraid (apologetic, reluctant)",adjective,a1,,हिचकिचाता हुआ / अनिच्छुक / माफ़ी चाहता हुआ,hicakicātā huā / anicchuk / māfī cāhatā huā
after (following time or event),preposition,a1,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
"after (upon completion, sequence)",preposition,a1,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
afternoon,noun,a1,,दोपहर (f) / दोपहर के बाद (m) / अपराह्न (m),dōpahar (f) / dōpahar kē bād (m) / aparāhn (m)
again (one more time),adverb,a1,,फिर से / दोबारा / पुनः,phir sē / dōbārā / punaḥ
ago,adverb,a1,,पहले / पूर्व,pahalē / pūrv
air (travel),noun,a1,,हवाई यात्रा (f) / वायु यात्रा (f),havāī yātrā (f) / vāyu yātrā (f)
airport,noun,a1,,हवाई अड्डा (m) / विमानपत्तन (m),havāī aḍḍā (m) / vimānapattan (m)
all (entire duration or quantity),determiner,a1,,सारा / पूरा / समस्त,sārā / pūrā / samast
all (entire quantity/duration),determiner,a1,,सारा / पूरा / समस्त,sārā / pūrā / samast
"all (people, everyone)",pronoun,a1,,सब / सभी / हर कोई,sab / sabhī / har kōī
also,adverb,a1,,भी / और / इसके अलावा,bhī / aur / isakē alāvā
always (at all times),adverb,a1,,हमेशा / सदा / सदैव,hamēśā / sadā / sadaiv
